building_name,net_leased_area ,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sum with d
DEHHALKAJ00010PF,677.8642578125,"(1949, 1957)",2.33585957897997e-12,8.564241145036683e-14,8.87343686837611e-11,1.4439524590474672e-05,2.2394696051309875e-10,1.1520997165767666e-09,,,,,,1.1210661497069946e-09,,1.4727642643572033e-10,5.731527024154795e-10,3.1743995311548503e-09,2.2485097524372986e-10,-3.252671710892108e-08,1.4446141382936719e-05,1.4413614665827797e-05
DEHHALKAJ00010pq,1350.03662109375,"(2002, 2009)",6.202807198267234e-13,2.2742093360478275e-14,2.3563153614126205e-11,3.442861661857358e-05,5.1041543586267065e-09,3.194345248412561e-08,,,,,,2.2327188201880143e-09,,1.0531313459872363e-09,8.444794121617723e-09,1.4671577571751097e-08,3.4016833085263023e-09,-1.5004651280826512e-07,3.44954681305844e-05,3.434542161777614e-05
DEHHALKAJ00010KY,562.689453125,"(1949, 1957)",1.9389775075537177e-12,7.10910497314386e-14,7.365765758056604e-11,1.2258578536530436e-05,1.907595088288994e-10,9.788407590909777e-10,,,,,,9.305876497703497e-10,,1.2503060594842266e-10,4.865794449099534e-10,2.69487185385297e-09,2.0409902999999777e-10,-2.76030427222767e-08,1.2264189305382838e-05,1.2236586262660562e-05
DEHHALKAJ00010Po,760.1845703125,"(1949, 1957)",2.6195280100583017e-12,9.604288616576016e-14,9.951033286147103e-11,1.6338229559336247e-05,2.5373420612278066e-10,1.303995281324474e-09,,,,,,1.2572092066491896e-09,,1.666417008067206e-10,6.485163392636139e-10,3.591777398900916e-09,2.6145537156874674e-10,-3.67979973766098e-08,1.6345712888840882e-05,1.630891489146427e-05
DEHHALKAJ00010Nibt_0,4.0,"(1979, 1983)",,,,6.102413040989264e-07,1.6594574077626233e-11,6.831225443030759e-11,,,,,,6.617744484360727e-12,,3.2686589291543294e-12,2.719893238311837e-11,4.3728861180102366e-11,1.0219288185626403e-11,-4.367076876948837e-10,6.104172444125966e-07,6.099805367249017e-07
DEHHALKAJ00010Nibt_1,936.0869140625,"(1979, 1983)",,,,1.8041167233309017e-05,5.106122675899077e-09,1.9267235181692864e-08,,,,,,1.5481272055551184e-09,,9.779064084257435e-10,8.326865486591784e-09,1.2723494318157074e-08,2.905504913389976e-09,-1.2639260412852143e-07,1.8092022489498727e-05,1.7965629885370206e-05
DEHHALKAJ00010FV,674.16015625,"(1949, 1957)",2.3230955764284835e-12,8.517442956990409e-14,8.824949120290728e-11,1.4379432589330955e-05,2.2305899082868955e-10,1.1473571734150206e-09,,,,,,1.1149402298064983e-09,,1.4666343409597996e-10,5.707671569164985e-10,3.1611842668834033e-09,2.248272625135525e-10,-3.2390604526408234e-08,1.4386021387845414e-05,1.4353630783319005e-05
DEHHALKAJ00010Gn,1125.1611328125,"(1949, 1957)",3.8772045873275824e-12,1.421545856323095e-13,1.472868079957668e-10,2.3907903515321405e-05,3.7065516604045756e-10,1.907396610302719e-09,,,,,,1.8608150710193764e-09,,2.438497277196817e-10,9.489850652724035e-10,5.2559531454684895e-09,3.6940043105931095e-10,-5.3856407792938846e-08,2.3918860570538293e-05,2.3865004162745353e-05
DEHHALKAJ00010kcbt_1,1111.580078125,"(1979, 1983)",,,,2.1685097362092333e-05,6.065052610967045e-09,2.288381486399977e-08,,,,,,1.8383563390921936e-09,,1.1615285198059482e-09,9.890607841351379e-09,1.51122350136944e-08,3.4509183835542104e-09,-1.5012125723797354e-07,2.1745499875664796e-05,2.1595378618426822e-05
DEHHALKAJ00010Knbt_1,617.4208984375,"(1979, 1983)",,,,1.2077787969061854e-05,3.4771078023980623e-09,1.3001309878577196e-08,,,,,,1.021126856232981e-09,,6.640306391720918e-10,5.667474375612946e-09,8.615177902857365e-09,1.9624798163584284e-09,-8.553628761266486e-08,1.2112196676333064e-05,1.20266603887204e-05
