Koordinatensystem : Lambert konform konisch
Rechtswert        : 3799500 Meter
Hochwert          : 2747500 Meter
Hoehenlage        : 48 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3799500 2747500  1  4  7  -5.5 1029  97  2.2 0  1.4  56    0    0 189 -273  3
3799500 2747500  1  4  8  -5.9 1029  56  1.8 0  1.4  56    0    0 188 -270  3
3799500 2747500  1  4  9  -4.7 1029  25  1.8 0  1.4  55    0    0 190 -263  3
3799500 2747500  1  4 10  -3.7 1029 113  2.2 0  1.4  52   29   36 192 -263  3
3799500 2747500  1  4 11  -1.7 1030 110  2.9 0  1.4  47  125   47 195 -271  3
3799500 2747500  1  4 12  -0.4 1030 121  4.1 0  1.4  40  187   48 196 -280  3
3799500 2747500  1  4 13   0.8 1030 132  4.7 0  1.4  37  224   46 198 -286  3
3799500 2747500  1  4 14   2.2 1029 121  3.1 0  1.5  35  210   43 202 -290  3
3799500 2747500  1  4 15   2.0 1029 107  4.1 0  1.5  36  150   37 204 -292  3
3799500 2747500  1  4 16   1.4 1029  96  3.4 0  1.6  38   57   33 204 -290  3
3799500 2747500  1  4 17   0.0 1029  96  3.5 1  1.6  41    1    8 207 -282  3
3799500 2747500  1  4 18   0.0 1029  96  2.9 1  1.6  43    0    0 209 -272  3
3799500 2747500  1  4 19  -1.1 1029  99  3.4 0  1.6  46    0    0 205 -266  3
3799500 2747500  1  4 20  -1.3 1030 141  3.3 0  1.6  48    0    0 201 -270  3
3799500 2747500  1  4 21  -2.3 1030 159  3.6 0  1.6  49    0    0 199 -275  3
3799500 2747500  1  4 22  -2.5 1030 170  2.8 0  1.5  50    0    0 197 -275  3
3799500 2747500  1  4 23  -3.2 1030 188  2.7 0  1.5  50    0    0 195 -275  3
3799500 2747500  1  4 24  -3.3 1031 162  3.0 0  1.5  50    0    0 193 -274  3
3799500 2747500  1  5  1  -3.6 1031 176  2.9 0  1.5  51    0    0 192 -273  3
3799500 2747500  1  5  2  -2.5 1031 158  3.6 1  1.4  48    0    0 195 -273  3
3799500 2747500  1  5  3  -2.5 1031 156  3.2 2  1.4  45    0    0 202 -273  3
3799500 2747500  1  5  4  -2.9 1031 169  3.0 1  1.4  46    0    0 201 -273  3
3799500 2747500  1  5  5  -3.1 1031 187  3.4 1  1.4  47    0    0 198 -276  3
3799500 2747500  1  5  6  -3.2 1031 167  3.1 1  1.4  47    0    0 197 -277  3
3799500 2747500  1  5  7  -3.8 1031 189  3.0 0  1.4  49    0    0 195 -277  3
3799500 2747500  1  5  8  -4.1 1032 180  2.6 0  1.4  52    0    0 192 -277  3
3799500 2747500  1  5  9  -4.1 1032 173  3.4 0  1.5  55    0    0 193 -278  3
3799500 2747500  1  5 10  -3.0 1032 186  3.1 1  1.6  58   24   40 197 -280  3
3799500 2747500  1  5 11  -1.2 1032 186  2.9 0  1.8  56  109   58 200 -285  3
3799500 2747500  1  5 12  -0.3 1032 177  3.5 0  1.9  54  163   66 202 -290  3
3799500 2747500  1  5 13   0.5 1032 214  3.1 0  2.0  52  209   55 204 -294  3
3799500 2747500  1  5 14   1.8 1032 185  2.4 0  2.0  50  197   53 207 -298  3
3799500 2747500  1  5 15   1.3 1032 167  3.3 0  2.1  50  139   48 208 -299  3
3799500 2747500  1  5 16   1.5 1032 174  2.7 0  2.1  52   52   38 209 -298  3
3799500 2747500  1  5 17   0.3 1032 210  2.6 0  2.1  53    2    8 206 -294  3
3799500 2747500  1  5 18   0.0 1032 182  2.7 0  2.1  55    0    0 204 -292  3
