building_name,net_leased_area,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sumwithd
'B96_IV',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.625045372886,894.2909330210632,753.1514688289483,-430.1046875,None,None,None,None,6202.5914604116515,None,155.84344586145872,850.7669904633665,344.14747581539575,6009.593587086707,-5690.4749751945965,74795.90571936147,69105.43074416688
'B97_IV',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62505178581,894.2909330317837,753.1514688501277,-430.1046875,None,None,None,None,6202.5914604048585,None,155.84344586145872,850.7669904794666,344.14747588574056,6009.593587773716,-5690.474975951084,74795.90572657296,69105.43075062188
'B98_IV',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.62504814142,894.2909330256913,753.1514688380917,-430.1046875,None,None,None,None,6202.591460383808,None,155.84344586145872,850.7669904703171,344.1474758457644,6009.593587383295,-5690.47497552118,74795.90572244984,69105.43074692866
'B99_IV',201.611572265625,"(2010,2015)",-296.65900857967375,0.4929846992810152,63.86866812032425,60015.625047704176,894.2909330249604,753.1514688366476,-430.1046875,None,None,None,None,6202.591460119281,None,155.84344586145872,850.7669904692193,344.1474758409682,6009.593587336454,-5690.474975469601,74795.90572169317,69105.43074622357
'B9_IV',201.6119384765625,"(2010,2015)",-296.6595474365083,0.4929855947474156,63.86878413253807,60015.68486454596,894.292475190091,753.1526743981314,-430.10546875,None,None,None,None,6202.602726760659,None,155.84372893833657,850.7684123046453,344.14756130894955,6009.599232904211,-5690.479508378622,74795.98620760099,69105.50669922237
'B1_II',180.326171875,"(2010,2015)",-398.00827974491,0.6614058108021418,85.68847731904191,46139.681846915446,669.0121356007207,635.3124204954446,-288.521875,None,None,None,None,5547.74374737077,None,109.78642763157632,637.5022502925734,321.3464497343026,4694.635603212415,-4396.510418489295,58466.499006253245,54069.988587763946
'B29_III',136.068359375,"(2010,2015)",-300.32431276862286,0.4990756617365755,64.6577831986926,37167.25186564387,508.7464912263814,487.15321833411326,-217.709375,None,None,None,None,4186.1606196385765,None,82.8413254390268,486.9430476223987,268.2742852060102,3794.3587937969323,-3594.882105083873,46764.02027190731,43169.13816682344
'B2_II',180.326416015625,"(2010,2015)",-398.0088186017446,0.6614067062685421,85.68859333125572,46139.71659389027,669.0129950248134,635.3131890839179,-288.522265625,None,None,None,None,5547.7507943978435,None,109.78657626960695,637.5030438004487,321.34658072516356,4694.6389895132215,-4396.513100831057,58466.54649708029,54070.03339624924
'B30_III',136.068603515625,"(2010,2015)",-300.3248516254575,0.49907655720297595,64.65789921090642,37167.2866058506,508.74735063916006,487.1539869002345,-217.709765625,None,None,None,None,4186.168130356133,None,82.84147407705743,486.9438411132818,268.2744161226307,3794.362179372683,-3594.884786627253,46764.06821880679,43169.18343217953
'B31_III',136.068603515625,"(2010,2015)",-300.3248516254575,0.49907655720297595,64.65789921090642,37167.28661080672,508.7473506474451,487.15398691660255,-217.709765625,None,None,None,None,4186.168130784605,None,82.84147407705743,486.9438411257247,268.2744161769955,3794.3621799036255,-3594.8847872118918,46764.06822481377,43169.183437601874
